Algorithm,Array Size,Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (nanoseconds),Time (microseconds)
Insertion Sort,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Insertion Sort Optimised,10,27,7,6,6,6,6,5,20,9,9,10.09090909
Shell Sort,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Shell Sort Optimised ,10,0,0,0,0,0,0,0,0,0,0,0.909090909
Rubix Sort,10,9,3,2,2,2,2,3,6,3,3,4.090909091
Rubix Sort Optimised ,10,1192,27,28,28,29,26,29,32,58,39,136.1818182
Bitwise Optimised Rubix Sort,10,32,16,17,15,16,17,16,18,21,23,18.27272727
Bitwise Optimised Vector Rubix Sort,10,20,10,10,9,10,10,10,10,15,15,11.72727273
Quick Sort,10,2,0,0,0,0,0,0,0,1,1,1.272727273
Quick Sort Optimised,10,1,0,0,0,0,0,0,0,0,0,1
Bubble Sort,10,2,0,0,0,0,0,0,0,1,1,1.272727273
Bubble Sort Optimised ,10,2,0,1,1,1,0,1,1,1,1,1.727272727
Bubble Comb Sort Optimised,10,1,0,0,0,0,0,0,0,1,1,1.181818182
Std Sort,10,6,3,3,2,3,3,3,3,4,4,4
Insertion Sort,25,4,2,1,2,1,1,1,2,3,3,4.090909091
Insertion Sort Optimised,25,26,14,11,14,11,10,11,10,20,18,15.45454545
Shell Sort,25,3,2,1,2,1,1,1,1,3,3,3.909090909
Shell Sort Optimised ,25,2,1,1,1,1,1,1,1,2,2,3.454545455
Rubix Sort,25,0,0,0,0,0,0,0,0,0,0,2.272727273
Rubix Sort Optimised ,25,65,38,26,39,26,25,28,27,49,46,35.81818182
Bitwise Optimised Rubix Sort,25,34,18,12,18,12,12,12,12,25,23,18.45454545
Bitwise Optimised Vector Rubix Sort,25,33,18,12,18,12,12,12,12,25,23,18.36363636
Quick Sort,25,5,3,1,3,2,1,2,2,4,3,4.636363636
Quick Sort Optimised,25,1,0,0,0,0,0,0,0,1,1,2.545454545
Bubble Sort,25,10,6,3,5,3,4,4,3,8,7,7.090909091
Bubble Sort Optimised ,25,10,5,3,5,3,3,3,4,8,7,6.909090909
Bubble Comb Sort Optimised,25,6,3,2,3,2,2,2,2,4,4,5
Std Sort,25,23,12,9,12,9,8,9,9,18,16,13.63636364
Insertion Sort,50,13,7,4,6,4,4,4,4,8,7,10.09090909
Insertion Sort Optimised,50,1159,31,22,31,22,22,22,22,40,32,132.0909091
Shell Sort,50,10,4,3,4,3,3,3,3,6,5,8.545454545
Shell Sort Optimised ,50,7,3,2,3,2,2,2,2,4,3,7.272727273
Rubix Sort,50,0,0,0,0,0,0,0,0,0,0,4.545454545
Rubix Sort Optimised ,50,179,50,35,51,33,39,33,33,58,46,55.18181818
Bitwise Optimised Rubix Sort,50,72,33,22,33,22,22,23,22,43,35,34.27272727
Bitwise Optimised Vector Rubix Sort,50,159,33,22,33,22,22,22,22,43,67,45
Quick Sort,50,16,7,5,7,5,5,5,5,10,8,11.18181818
Quick Sort Optimised,50,3,1,1,1,1,1,1,1,2,1,5.727272727
Bubble Sort,50,43,20,13,20,13,13,13,13,26,104,29.81818182
Bubble Sort Optimised ,50,41,19,13,19,13,13,13,13,26,22,22
Bubble Comb Sort Optimised,50,15,7,4,7,4,4,4,4,9,1111,110.8181818
Std Sort,50,57,27,19,27,18,19,19,19,35,31,29.18181818
Insertion Sort,100,45,21,14,21,14,156,14,14,28,27,41.27272727
Insertion Sort Optimised,100,149,83,49,71,49,84,48,49,127,92,81.90909091
Shell Sort,100,22,11,7,11,7,7,7,7,14,14,18.81818182
Shell Sort Optimised ,100,18,8,5,8,6,261,6,6,23,11,41.09090909
Rubix Sort,100,0,0,0,0,0,0,0,0,0,0,9.090909091
Rubix Sort Optimised ,100,154,79,59,79,57,99,57,58,190,99,93.72727273
Bitwise Optimised Rubix Sort,100,135,63,43,65,55,43,43,44,125,83,72.63636364
Bitwise Optimised Vector Rubix Sort,100,135,63,43,62,55,43,43,44,83,83,68.54545455
Quick Sort,100,34,17,11,16,11,11,11,11,22,21,24.09090909
Quick Sort Optimised,100,6,2,2,2,2,2,2,1,3,3,11.36363636
Bubble Sort,100,163,76,52,76,66,52,52,52,101,100,80.90909091
Bubble Sort Optimised ,100,163,76,52,76,72,52,51,51,100,99,81.09090909
